screen_name,followers,friends,tweets,place,user_location
WardensWorks,278.0,193.0,245.0,,"Modesto, Ca"
sidneysallings,278.0,304.0,6153.0,"Modesto, CA","San Jose, CA"
1ArmandoAlvarez,278.0,265.0,1805.0,,Baseball Diamond 
axel_val,277.0,259.0,2716.0,,"Inland Empire, CA"
Ale_gxx,277.0,115.0,18766.0,"Ceres, CA",California
RuthlessVisions,277.0,1104.0,14768.0,,Inland Empire CA
CVHRMA,277.0,29.0,310.0,,"Modesto, CA"
tgillihan,277.0,469.0,3958.0,,"Turlock, CA"
YTDEREK_,277.0,189.0,305.0,,"Ceres, CA"
JessicaVentoza,277.0,528.0,2622.0,,"Turlock, CA"
EATincart,277.0,883.0,5990.0,,"Maryland, USA"
SashaEdward,276.0,261.0,1731.0,,"Modesto, California"
rockss__,276.0,244.0,4206.0,,"Santa Paula, CA"
jaciwestbrook,276.0,980.0,840.0,"Ceres, CA",California
edwin_flores15,276.0,167.0,3582.0,,
Gooze75,276.0,1191.0,19116.0,,209
PeterPalombi,276.0,205.0,3191.0,,"Modesto, CA"
SoCaliAl,276.0,198.0,8652.0,,"Los Angeles, CA"
aninerhater,275.0,137.0,3652.0,,"Modesto, CA"
mmonte_,275.0,290.0,4016.0,,
JayCubTheBear,275.0,189.0,1445.0,,
Hes_irrelAVant,275.0,418.0,7758.0,,"Ceres, CA"
UmItsSam,275.0,251.0,9537.0,,"Raymond, CA"
Valen97962910,275.0,390.0,769.0,,
bsygrrrl,275.0,835.0,7635.0,,
leilaniii01,274.0,399.0,7199.0,,
carlozchorizo,274.0,215.0,5573.0,,
_highimlupe,274.0,105.0,11495.0,,"Hughson, CA"
janiiashaw,274.0,395.0,4389.0,,"California, USA"
dianaacostaxo,274.0,666.0,7741.0,,Bay Area
mclean_leo,274.0,696.0,17874.0,,"Modesto, CA"
PHSTigersAD,274.0,97.0,948.0,,"Patterson, CA"
omar_6073,274.0,681.0,5507.0,,DaFunk / Canal St.
