created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Fri Apr 01 16:32:06 +0000 2011	53857179664519169	WATCH my comments @ press conf w/ House #GOP members today.  Called on Dems to @PassABill so we can cut #spending VIDEO http://bit.ly/hvor0y	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							PassABill
Fri Apr 01 15:53:03 +0000 2011	53847351827251200	via @QuinnipiacPoll 67% of Americans support new offshore drilling in the Gulf of Mexico.  http://bit.ly/fcfMWH #jobs	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							QuinnipiacPoll
Fri Apr 01 15:42:45 +0000 2011	53844758803644416	Joined House #GOP colleagues on the #Senate steps today. 41 days, 0 response from Sen. Is @SenatorReid going to #PassABill? #tcot #budget	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							SenatorReid
Thu Mar 31 14:13:01 +0000 2011	53459788935348225	RT @NatResources: WATCH LIVE NOW: Full Committee oversight hearing on rising #gasprices and creating American #jobs http://go.usa.gov/Ybs	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					53457459175632897		NatResources
Thu Mar 31 13:54:39 +0000 2011	53455164912308224	"""Officials are concerned about rising water..."" @modbee article: http://bit.ly/ghwYng. I'm working to address concerns:http://bit.ly/eED9qO"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							modbee
Thu Mar 31 13:31:11 +0000 2011	53449259751710720	RT @kevinomccarthy: 40 days and counting. Still waiting on Senate Dems to produce a plan to seriously cut federal spending.	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							kevinomccarthy
Thu Mar 31 13:00:47 +0000 2011	53441611421597698	RT @KMJNOW: Pump Bump- $4/gallon Gas is Here. We have @natresources hearing today addressing rising #gas $$. How are you affected? #ca19	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							KMJNOW
Wed Mar 30 22:43:26 +0000 2011	53225851759759361	RT @KMPHFOX26: Deep snow prompts governor to declare drought over. Where is the #water for south-of-delta farmers? Should be 100%  #ca19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							KMPHFOX26
Wed Mar 30 22:03:58 +0000 2011	53215919924719616	ICYMI:Watch footage from hearing today on streamlining emergency response efforts. @fema testified: http://bit.ly/eED9qO @TransportGOP #ca19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							fema
Wed Mar 30 20:43:51 +0000 2011	53195755233624064	RT @MercedSunStar: Denham:  put human life above environmental concerns in risk assessment and emergency preparedness: WASHINGTON, ... h ...	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"					53178806361530368		MercedSunStar
Wed Mar 30 19:36:24 +0000 2011	53178784857337856	@NatResources unveils plan to boost U.S. energy production, address rising gas prices & create #jobs http://bit.ly/gNc3IE via @thehill	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"							NatResources
Wed Mar 30 17:53:16 +0000 2011	53152829677899776	RT @SpeakerBoehner: House GOP freshmen rally & urge Senate Democrats to do their job and “pass a bill” http://bit.ly/eGJsRL #jobs	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"					53150082157125632		SpeakerBoehner
Wed Mar 30 15:53:13 +0000 2011	53122618601119744	We would not be debating how to fund govt for the next 6 months if Dems did job last year, & this year #wheresyourplan #PassABill	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Wed Mar 30 14:09:59 +0000 2011	53096637077270528	@TransportGOP subcmte hearing on streamlining the recovery process after major disasters happening now. WATCH: http://1.usa.gov/etaeJA	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							TransportGOP
Tue Mar 29 22:19:25 +0000 2011	52857420195704832	FEMA at @TransportGOP subcmte hearing on streamlining the recovery process after major disasters tmrw @ 10AM. Info: http://1.usa.gov/hRAR3a	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							TransportGOP
Tue Mar 29 13:41:06 +0000 2011	52726982286385152	Read my reaction to the President's speech on #libya on my website: http://bit.ly/g4sSWy	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
